state,7/1/99,7/1/98,7/1/97,7/1/96,7/1/95,7/1/94
United States,272690813,270248003,267783607,265228572,262803276,260327021
Alabama,4369862,4351037,4320281,4290403,4262731,4232965
Alaska,619500,615205,608846,604918,601345,600624
Arizona,4778332,4667277,4552207,4432308,4306908,4147561
Arkansas,2551373,2538202,2524007,2504858,2480121,2450605
California,33145121,32682794,32217708,31780829,31493525,31317179
Colorado,4056133,3968967,3891293,3812716,3738061,3653910
Connecticut,3282031,3272563,3268514,3267030,3265293,3268346
Delaware,753538,744066,735024,727090,718265,708416
District of Columbia,519000,521426,528752,538273,551273,564982
Florida,15111244,14908230,14683350,14426911,14185403,13961798
Georgia,7788240,7636522,7486094,7332225,7188538,7045900
Hawaii,1185497,1190472,1189322,1184434,1180490,1173903
Idaho,1251700,1230923,1210638,1187706,1165000,1135459
Illinois,12128370,12069774,12011509,11953003,11884935,11804986
Indiana,5942901,5907617,5872370,5834908,5791819,5745626
Iowa,2869413,2861025,2854396,2848473,2840860,2829422
Kansas,2654052,2638667,2616339,2598266,2586942,2569118
Kentucky,3960825,3934310,3907816,3881051,3855248,3823215
Louisiana,4372035,4362758,4351390,4338763,4327978,4306500
Maine,1253040,1247554,1245215,1241436,1237438,1237687
Maryland,5171634,5130072,5092914,5057142,5023650,4985411
Massachusetts,6175169,6144407,6115476,6085393,6062335,6031352
Michigan,9863775,9820231,9785450,9739184,9659871,9584481
Minnesota,4775508,4726411,4687726,4647723,4605445,4566028
Mississippi,2768619,2751335,2731826,2709925,2690788,2663450
Missouri,5468338,5437562,5407113,5367888,5324610,5281206
Montana,882779,879533,878706,876656,868522,854923
Nebraska,1666028,1660772,1656042,1647657,1635142,1621551
Nevada,1809253,1743772,1675581,1596476,1525777,1456388
New Hampshire,1201134,1185823,1173239,1160768,1145604,1133054
New Jersey,8143412,8095542,8054178,8009624,7965523,7918796
New Mexico,1739844,1733535,1722939,1706151,1682417,1653329
New York,18196601,18159175,18143184,18143805,18150928,18156652
North Carolina,7650789,7545828,7428672,7307658,7185403,7060959
North Dakota,633666,637808,640945,642858,641548,639762
Ohio,11256654,11237752,11212498,11187032,11155493,11111451
Oklahoma,3358044,3339478,3314259,3289634,3265547,3246119
Oregon,3316154,3282055,3243254,3195087,3141421,3087142
Pennsylvania,11994016,12002329,12015888,12038008,12044780,12042545
Rhode Island,990819,987704,986966,987858,989203,993412
South Carolina,3885736,3839578,3790066,3738974,3699943,3666456
South Dakota,733133,730789,730855,730699,728251,723038
Tennessee,5483535,5432679,5378433,5313576,5241168,5163016
Texas,20044141,19712389,19355427,19006240,18679706,18338319
Utah,2129836,2100562,2065397,2022253,1976774,1930436
Vermont,593740,590579,588665,586352,582827,578900
Virginia,6872912,6789225,6732878,6665491,6601392,6536771
Washington,5756361,5687832,5604105,5509963,5431024,5334896
West Virginia,1806928,1811688,1815588,1818983,1820560,1818490
Wisconsin,5250446,5222124,5200235,5173828,5137004,5095504
Wyoming,479602,480045,480031,480085,478447,474982
